Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
0.0049,1.9857,-1.0000,1.9857,0.0000,-1.9857,0.0000,0.0000,-2.4308,-39.3567,577.1401,-40.8532,575.8297
0.1049,2.0033,-1.0000,2.0033,0.0000,-2.0033,0.0000,0.0000,-14.5847,-39.5254,577.3809,-41.0790,576.1050
0.2049,1.9903,-1.0000,1.9903,0.0000,-1.9903,0.0000,0.0000,-26.7385,-39.9032,577.8511,-41.4074,576.5416
0.3049,1.8136,-1.0000,1.8136,0.0000,-1.8136,0.0000,0.0000,-35.0000,-40.5452,578.4142,-41.9312,577.3295
0.4049,1.2763,-1.0000,1.2763,0.0000,-1.2763,0.0000,0.0000,-35.0000,-41.4987,578.8718,-42.4153,578.1971
0.5049,0.3204,-0.3204,0.3204,0.0000,-0.3204,0.0000,0.0000,-25.7465,-42.7115,579.0477,-42.7474,578.9070
0.6049,-0.9296,0.9296,-0.9296,0.0000,0.9296,0.0000,0.0000,-13.5927,-44.0716,578.9376,-42.9198,579.3021
0.7049,-2.3614,1.0000,-2.3614,0.0000,2.3614,0.0000,0.0000,-1.4388,-45.5218,578.6552,-43.0088,579.5417
0.8049,-3.8877,1.0000,-3.8877,0.0000,3.8877,0.0000,0.0000,10.7151,-47.0647,578.3747,-43.0966,579.7778
0.9049,-5.4426,1.0000,-5.4426,0.0000,5.4426,0.0000,0.0000,22.8690,-48.7034,578.3315,-43.2265,580.1272
1.0049,-6.9044,1.0000,-6.9044,0.0000,6.9044,0.0000,0.0000,35.0000,-50.3214,578.8238,-43.4044,580.7045
1.1049,-7.9312,1.0000,-7.9312,0.0000,7.9312,0.0000,0.0000,35.0000,-51.5738,580.0253,-43.6703,581.6830
1.2049,-8.2778,1.0000,-8.2778,0.0000,8.2778,0.0000,0.0000,35.0000,-52.1127,581.7161,-43.9269,582.8738
1.3049,-7.8392,1.0000,-7.8392,0.0000,7.8392,0.0000,0.0000,35.0000,-51.7555,583.4868,-44.1182,584.1237
