Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
0.0000,1.9857,-1.0000,1.9857,0.0000,-1.9857,0.0000,0.0000,-2.4000,-39.3523,577.1337,-40.8532,575.8297
0.1200,2.0015,-1.0000,2.0015,0.0000,-2.0015,0.0000,-0.0340,-16.8000,-39.4659,577.2970,-41.0388,576.0515
0.2400,1.9972,-1.0000,1.9972,0.0000,-1.9972,0.0000,0.0607,-31.2000,-39.7209,577.6260,-41.2694,576.3582
0.3600,1.9223,-1.0000,1.9223,0.0000,-1.9223,0.0000,0.5065,-35.0000,-40.1379,578.0378,-41.6833,576.9377
0.4800,1.6603,-0.3778,1.6603,0.0000,-1.6603,0.0000,1.2825,-25.4000,-40.7300,578.4457,-42.0311,577.4874
0.6000,1.2144,0.8211,1.2144,0.0000,-1.2144,0.0000,2.0354,-11.0000,-41.4638,578.8204,-42.4100,578.1873
0.7200,0.6351,1.0000,0.6351,0.0000,-0.6351,0.0000,2.5450,3.4000,-42.2906,579.1906,-42.7299,578.8677
0.8400,-0.0046,1.0000,-0.0046,0.0000,0.0046,0.0000,2.7274,17.8000,-43.1588,579.6219,-43.0095,579.5437
0.9600,-0.6155,1.0000,-0.6155,0.0000,0.6155,0.0000,2.4683,32.2000,-43.9923,580.2061,-43.2721,580.2753
1.0800,-1.0715,1.0000,-1.0715,0.0000,1.0715,0.0000,1.6666,35.0000,-44.6661,581.0180,-43.5305,581.1302
1.1800,-1.2678,1.0000,-1.2678,0.0000,1.2678,0.0000,0.7342,35.0000,-45.0319,581.8444,-43.7368,581.9459
1.3000,-1.2545,0.8524,-1.2545,0.0000,1.2545,0.0000,-0.4021,32.6000,-45.1803,582.9401,-43.9401,582.9550
1.4200,-0.9857,-0.3355,-0.9857,0.0000,0.9857,0.0000,-1.3212,18.2000,-45.0439,584.0596,-44.1023,583.9963
1.5200,-0.6585,-1.0000,-0.6585,0.0000,0.6585,0.0000,-1.6775,6.2000,-44.8113,584.9837,-44.2064,584.8596
1.6400,-0.2556,-1.0000,-0.2556,0.0000,0.2556,0.0000,-1.6074,-8.2000,-44.5049,586.0972,-44.2978,585.9261
1.7400,0.0042,-1.0000,0.0042,0.0000,-0.0042,0.0000,-1.1390,-20.2000,-44.3177,587.0485,-44.3499,586.8560
1.8600,0.1017,-0.1626,0.1017,0.0000,-0.1017,0.0000,-0.0610,-19.5668,-44.2915,588.2175,-44.3817,588.0209
1.9600,0.0061,0.6130,0.0061,0.0000,-0.0061,0.0000,0.6192,-7.5668,-44.4063,589.1915,-44.3840,588.9971
2.0600,-0.1613,1.0000,-0.1613,0.0000,0.1613,0.0000,0.8754,4.4332,-44.5563,590.1644,-44.3661,589.9650
2.1600,-0.3172,1.0000,-0.3172,0.0000,0.3172,0.0000,0.7157,16.4332,-44.6601,591.1459,-44.3302,590.9344
2.2600,-0.3757,0.4995,-0.3757,0.0000,0.3757,0.0000,0.1238,20.3608,-44.6346,592.1342,-44.2772,591.9141
