Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
0.0066,-4.9842,1.0000,-4.9842,0.0000,9.9806,0.4984,0.0000,3.0000,-45.1390,573.1949,-41.1392,576.1851
0.1066,-4.9668,1.0000,-4.9668,0.0000,9.9457,2.9866,0.0000,18.0000,-45.2964,573.4305,-41.2690,576.3575
0.2066,-4.9017,1.0000,-4.9017,0.0000,9.8153,5.4529,0.0000,33.0000,-45.5931,573.9305,-41.5661,576.7524
0.3066,-4.8097,1.0000,-4.8097,0.0000,9.6312,7.8835,0.0000,35.0000,-45.9195,574.6871,-41.7824,577.0944
0.4066,-4.5495,1.0000,-4.5495,0.0000,9.1101,10.2114,0.0000,35.0000,-46.1542,575.6813,-42.0995,577.6033
0.5066,-4.0762,1.0000,-4.0762,0.0000,8.1624,12.3525,0.0000,35.0000,-46.1823,576.8633,-42.5132,578.3812
0.6066,-3.3627,1.0000,-3.3627,0.0000,6.7336,14.1912,0.0000,35.0000,-45.9069,578.1476,-42.9010,579.2517
0.7066,-2.3877,1.0000,-2.3877,0.0000,4.7813,15.5948,0.0000,35.0000,-45.2664,579.4150,-43.1806,580.0038
0.8066,-1.1389,1.0000,-1.1389,0.0000,2.2806,16.4247,0.0000,35.0000,-44.2477,580.5255,-43.3903,580.6589
0.9066,0.3504,1.0000,0.3504,0.0000,-0.7017,16.5546,0.0000,35.0000,-42.8941,581.3358,-43.5274,581.1182
1.0066,1.9719,1.0000,1.9719,0.0000,-3.9487,15.8962,0.0000,35.0000,-41.3051,581.7225,-43.5481,581.2000
1.1066,3.5687,1.0000,3.5687,0.0000,-7.1462,14.4265,0.0000,35.0000,-39.6272,581.6019,-43.3772,580.6162
1.2066,4.9235,1.0000,4.9235,0.0000,-9.8591,12.2204,0.0000,35.0000,-38.0358,580.9477,-42.9573,579.4031
1.3065,5.6839,-1.0000,5.6839,0.0000,-11.3817,9.5042,0.0000,23.0000,-36.6796,579.8337,-41.7458,577.0364
1.4066,5.7524,-1.0000,5.7524,0.0000,-11.5189,6.6193,0.0000,8.0000,-35.5165,578.4807,-39.9224,574.7983
1.5066,5.4701,-1.0000,5.4701,0.0000,-10.9537,3.8191,0.0000,-7.0000,-34.3976,577.0632,-38.1042,573.1149
1.6066,5.1285,-1.0000,5.1285,0.0000,-10.2695,1.1892,0.0000,-22.0000,-33.1501,575.7360,-36.3922,571.8041
1.7066,5.0087,-1.0000,5.0087,0.0000,-10.0297,-1.3232,0.0000,-35.0000,-31.6266,574.7219,-34.6038,570.6318
1.8065,5.3555,-1.0000,5.3555,0.0000,-10.7241,-3.9106,0.0000,-35.0000,-29.8455,574.2610,-32.6719,569.5425
1.9066,6.2126,-1.0000,6.2126,0.0000,-12.4404,-6.8265,0.0000,-35.0000,-28.0043,574.4299,-30.9567,568.6952
2.0066,7.5279,-1.0000,7.5279,0.0000,-15.0742,-10.3107,0.0000,-35.0000,-26.3228,575.2166,-29.6234,568.1021
2.1066,9.1911,-1.0000,9.1911,0.0000,-18.4048,-14.5617,0.0000,-35.0000,-25.0054,576.5330,-28.7014,567.7220
2.2066,11.0380,-1.0000,11.0380,0.0000,-22.1030,-19.7072,0.0000,-35.0000,-24.2144,578.2246,-28.2875,567.5599
2.3065,12.8647,-1.0000,12.8647,0.0000,-25.7609,-25.7799,0.0000,-35.0000,-24.0498,580.0888,-28.8880,567.7980
2.4066,14.4181,-1.0000,14.4181,0.0000,-28.8715,-32.6944,0.0000,-35.0000,-24.5351,581.8997,-30.1108,568.3127
2.5066,15.4509,-1.0000,15.4509,0.0000,-30.9397,-40.2412,0.0000,-35.0000,-25.6143,583.4360,-32.4474,569.4266
2.6066,15.7432,-1.0000,15.7432,0.0000,-31.5250,-48.0872,0.0000,-35.0000,-27.1576,584.5089,-35.5369,571.2220
2.7066,15.2848,-1.0000,15.2848,0.0000,-30.6070,-50.0000,0.0000,-35.0000,-28.9777,584.9855,-41.0000,576.0000
2.8065,13.5540,-1.0000,13.5540,0.0000,-27.1412,-50.0000,0.0000,-35.0000,-30.8520,584.8062,-43.6409,581.5668
2.9066,11.6937,-1.0000,11.6937,0.0000,-23.4160,-50.0000,0.0000,-35.0000,-32.5507,583.9912,-43.5814,581.3315
3.0066,9.9370,-1.0000,9.9370,0.0000,-19.8983,-50.0000,0.0000,-35.0000,-33.8649,582.6398,-42.7407,578.8919
3.1066,8.3250,-1.0000,8.3250,0.0000,-16.6704,-50.0000,0.0000,-35.0000,-34.6326,580.9173,-41.1984,576.2637
3.2066,6.8874,-1.0000,6.8874,0.0000,-13.7917,-50.0000,0.0000,-35.0000,-34.7586,579.0350,-39.5799,574.4508
3.3065,5.7977,-1.0000,5.7977,0.0000,-11.6097,-50.0000,0.0000,-35.0000,-34.2270,577.2243,-38.0701,573.0868
3.4066,5.1513,-1.0000,5.1513,0.0000,-10.3152,-50.0000,0.0000,-35.0000,-33.1027,575.7083,-36.3567,571.7788
3.5066,5.0088,-1.0000,5.0088,0.0000,-10.0298,-50.0000,0.0000,-35.0000,-31.5236,574.6738,-34.3947,570.5062
3.6066,5.4051,-1.0000,5.4051,0.0000,-10.8235,-50.0000,0.0000,-35.0000,-29.6841,574.2482,-32.5431,569.4761
3.7066,6.3281,-1.0000,6.3281,0.0000,-12.6716,-50.0000,0.0000,-35.0000,-27.8107,574.4844,-30.8146,568.6300
3.8065,7.7117,-1.0000,7.7117,0.0000,-15.4423,-50.0000,0.0000,-35.0000,-26.1339,575.3533,-29.3558,567.9888
3.9066,9.4328,-1.0000,9.4328,0.0000,-18.8888,-50.0000,0.0000,-35.0000,-24.8606,576.7482,-28.4615,567.6268
4.0066,11.3142,-1.0000,11.3142,0.0000,-22.6560,-50.0000,0.0000,-35.0000,-24.1477,578.4973,-28.3022,567.5655
4.1066,13.1321,-1.0000,13.1321,0.0000,-26.2963,-50.0000,0.0000,-35.0000,-24.0832,580.3850,-29.0016,567.8444
4.2066,14.6327,-1.0000,14.6327,0.0000,-29.3012,-50.0000,0.0000,-35.0000,-24.6750,582.1788,-30.6053,568.5341
4.3065,15.5619,-1.0000,15.5619,0.0000,-31.1620,-50.0000,0.0000,-35.0000,-25.8503,583.6577,-33.0625,569.7505
