Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
0.0000,1.9857,-1.0000,1.9857,0.0000,-1.9857,0.0000,0.0000,-3.0000,-39.3523,577.1337,-40.8532,575.8297
0.1200,2.0015,-1.0000,2.0015,0.0000,-2.0015,0.0000,-0.0340,-21.0000,-39.4659,577.2970,-41.0388,576.0515
0.2400,1.9969,-1.0000,1.9969,0.0000,-1.9969,0.0000,0.0633,-35.0000,-39.7213,577.6258,-41.2695,576.3582
0.3600,1.9284,-1.0000,1.9284,0.0000,-1.9284,0.0000,0.4562,-35.0000,-40.1312,578.0449,-41.6842,576.9391
0.4800,1.6955,-0.5598,1.6955,0.0000,-1.6955,0.0000,1.1357,-25.8420,-40.7025,578.4820,-42.0379,577.4981
0.6000,1.2979,0.5075,1.2979,0.0000,-1.2979,0.0000,1.8054,-7.8420,-41.4053,578.9122,-42.4318,578.2283
0.7200,0.7857,1.0000,0.7857,0.0000,-0.7857,0.0000,2.2238,10.1580,-42.1881,579.3680,-42.7742,578.9672
0.8400,0.2372,1.0000,0.2372,0.0000,-0.2372,0.0000,2.2878,28.1580,-42.9875,579.9158,-43.0794,579.7317
0.9600,-0.2426,1.0000,-0.2426,0.0000,0.2426,0.0000,1.8700,35.0000,-43.7064,580.6361,-43.3642,580.5742
1.0800,-0.5703,1.0000,-0.5703,0.0000,0.5703,0.0000,1.1827,35.0000,-44.2595,581.5362,-43.6279,581.5154
1.1800,-0.7009,1.0000,-0.7009,0.0000,0.7009,0.0000,0.5102,35.0000,-44.5529,582.3918,-43.8207,582.3556
1.3000,-0.6771,0.4057,-0.6771,0.0000,0.6771,0.0000,-0.2714,20.0000,-44.6952,583.4912,-44.0146,583.4138
1.4200,-0.5532,0.0040,-0.5532,0.0000,0.5532,0.0000,-0.5492,2.0000,-44.7150,584.6204,-44.1653,584.4998
1.5200,-0.4596,0.0183,-0.4596,0.0000,0.4596,0.0000,-0.4413,0.6388,-44.7163,585.5734,-44.2584,585.4243
1.6400,-0.3751,0.0348,-0.3751,0.0000,0.3751,0.0000,-0.3404,1.2166,-44.7101,586.7285,-44.3374,586.5587
1.7400,-0.3226,0.0465,-0.3226,0.0000,0.3226,0.0000,-0.2760,1.6284,-44.6919,587.6983,-44.3740,587.5156
1.8600,-0.2730,0.0801,-0.2730,0.0000,0.2730,0.0000,-0.1930,2.8020,-44.6518,588.8688,-44.3868,588.6710
1.9600,-0.2387,0.0843,-0.2387,0.0000,0.2387,0.0000,-0.1544,2.9511,-44.6027,589.8484,-44.3749,589.6457
2.0600,-0.2095,0.0785,-0.2095,0.0000,0.2095,0.0000,-0.1310,2.7470,-44.5398,590.8309,-44.3441,590.6248
2.1600,-0.1846,0.0741,-0.1846,0.0000,0.1846,0.0000,-0.1105,2.5942,-44.4639,591.8152,-44.2958,591.6071
2.2600,-0.1632,0.0695,-0.1632,0.0000,0.1632,0.0000,-0.0937,2.4313,-44.3759,592.8009,-44.2317,592.5915
2.3600,-0.1445,0.0638,-0.1445,0.0000,0.1445,0.0000,-0.0807,2.2328,-44.2767,593.7875,-44.1535,593.5774
2.4600,-0.1284,0.0600,-0.1284,0.0000,0.1284,0.0000,-0.0685,2.0985,-44.1671,594.7746,-44.0621,594.5644
2.5600,-0.1143,0.0533,-0.1143,0.0000,0.1143,0.0000,-0.0610,1.8657,-44.0480,595.7618,-43.9590,595.5519
2.6600,-0.1018,0.0472,-0.1018,0.0000,0.1018,0.0000,-0.0546,1.6527,-43.9201,596.7491,-43.8453,596.5395
2.7600,-0.0909,0.0416,-0.0909,0.0000,0.0909,0.0000,-0.0493,1.4548,-43.7844,597.7360,-43.7220,597.5270
2.8600,-0.0812,0.0369,-0.0812,0.0000,0.0812,0.0000,-0.0444,1.2903,-43.6414,598.7226,-43.5901,598.5143
2.9600,-0.0726,0.0316,-0.0726,0.0000,0.0726,0.0000,-0.0409,1.1076,-43.4919,599.7088,-43.4505,599.5012
3.0600,-0.0648,0.0268,-0.0648,0.0000,0.0648,0.0000,-0.0380,0.9383,-43.3365,600.6946,-43.3039,600.4879
3.1600,-0.0579,0.0227,-0.0579,0.0000,0.0579,0.0000,-0.0353,0.7938,-43.1758,601.6799,-43.1511,601.4739
