Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
0.0156,-4.9842,1.0000,-4.9842,0.0000,4.9842,0.0000,0.0000,3.0000,-45.1350,573.1889,-41.1392,576.1851
0.1156,-4.9755,1.0000,-4.9755,0.0000,4.9755,0.0000,-0.0626,18.0000,-45.2183,573.3127,-41.2075,576.2758
0.2156,-4.9455,1.0000,-4.9455,0.0000,4.9455,0.0000,-0.1887,33.0000,-45.3806,573.5724,-41.3738,576.4969
0.3156,-4.8792,1.0000,-4.8792,0.0000,4.8792,0.0000,-0.3149,35.0000,-45.5800,573.9581,-41.5661,576.7524
0.4156,-4.8000,1.0000,-4.8000,0.0000,4.8000,0.0000,-0.5284,35.0000,-45.7726,574.4610,-41.6737,576.9224
0.5156,-4.6038,1.0000,-4.6038,0.0000,4.6038,0.0000,-1.1159,35.0000,-45.9170,575.0674,-41.9839,577.4127
0.6156,-4.3482,1.0000,-4.3482,0.0000,4.3482,0.0000,-1.3271,35.0000,-45.9754,575.7577,-42.1286,577.6579
0.7156,-3.9615,1.0000,-3.9615,0.0000,3.9615,0.0000,-2.0975,35.0000,-45.9167,576.5045,-42.4272,578.2195
0.8156,-3.4840,0.9820,-3.4840,0.0000,3.4840,0.0000,-2.5020,34.3686,-45.7180,577.2744,-42.5838,578.5398
0.9156,-2.8854,-0.2266,-2.8854,0.0000,2.8854,0.0000,-3.1120,19.3686,-45.3887,578.0399,-42.8181,579.0656
1.0156,-2.2390,-1.0000,-2.2390,0.0000,2.2390,0.0000,-3.2439,4.3686,-44.9844,578.8040,-42.9678,579.4314
1.1156,-1.5698,-1.0000,-1.5698,0.0000,1.5698,0.0000,-3.3509,-10.6314,-44.5634,579.5875,-43.1704,579.9765
1.2156,-0.9494,-1.0000,-0.9494,0.0000,0.9494,0.0000,-3.0044,-25.6314,-44.1911,580.4172,-43.3495,580.5264
1.3156,-0.4411,-1.0000,-0.4411,0.0000,0.4411,0.0000,-2.2900,-35.0000,-43.9516,581.3107,-43.5571,581.2354
1.4156,-0.1327,-1.0000,-0.1327,0.0000,0.1327,0.0000,-1.2601,-35.0000,-43.9012,582.2477,-43.7653,582.0854
1.5156,-0.0402,-0.2020,-0.0402,0.0000,0.0402,0.0000,-0.2421,-20.0000,-44.0226,583.1903,-43.9488,583.0088
1.6156,-0.0930,0.4755,-0.0930,0.0000,0.0930,0.0000,0.3825,-5.0000,-44.2347,584.1266,-44.0966,583.9510
1.7156,-0.2074,0.8049,-0.2074,0.0000,0.2074,0.0000,0.5976,10.0000,-44.4584,585.0679,-44.2099,584.8975
1.8156,-0.3000,0.6841,-0.3000,0.0000,0.3000,0.0000,0.3841,23.9425,-44.6144,586.0284,-44.2932,585.8532
1.9156,-0.3122,0.3128,-0.3122,0.0000,0.3122,0.0000,0.0005,10.9464,-44.6652,587.0052,-44.3486,586.8206
2.0156,-0.2874,0.1625,-0.2874,0.0000,0.2874,0.0000,-0.1249,5.6858,-44.6634,587.9875,-44.3789,587.7944
2.1156,-0.2563,0.1144,-0.2563,0.0000,0.2563,0.0000,-0.1419,4.0056,-44.6350,588.9727,-44.3859,588.7733
2.2156,-0.2269,0.0966,-0.2269,0.0000,0.2269,0.0000,-0.1304,3.3798,-44.5880,589.9599,-44.3719,589.7560
2.3156,-0.2006,0.0854,-0.2006,0.0000,0.2006,0.0000,-0.1151,2.9900,-44.5256,590.9484,-44.3389,590.7416
2.4156,-0.1776,0.0790,-0.1776,0.0000,0.1776,0.0000,-0.0986,2.7648,-44.4494,591.9376,-44.2884,591.7290
2.5156,-0.1576,0.0710,-0.1576,0.0000,0.1576,0.0000,-0.0866,2.4838,-44.3607,592.9273,-44.2223,592.7176
2.6156,-0.1399,0.0627,-0.1399,0.0000,0.1399,0.0000,-0.0772,2.1958,-44.2605,593.9170,-44.1421,593.7068
2.7156,-0.1246,0.0557,-0.1246,0.0000,0.1246,0.0000,-0.0689,1.9482,-44.1499,594.9066,-44.0489,594.6964
2.8156,-0.1111,0.0496,-0.1111,0.0000,0.1111,0.0000,-0.0615,1.7353,-44.0298,595.8959,-43.9442,595.6859
2.9156,-0.0991,0.0433,-0.0991,0.0000,0.0991,0.0000,-0.0558,1.5166,-43.9009,596.8847,-43.8290,596.6752
3.0156,-0.0885,0.0369,-0.0885,0.0000,0.0885,0.0000,-0.0517,1.2903,-43.7642,597.8730,-43.7044,597.6641
3.1156,-0.0791,0.0317,-0.0791,0.0000,0.0791,0.0000,-0.0474,1.1095,-43.6202,598.8607,-43.5712,598.6524
3.2156,-0.0707,0.0270,-0.0707,0.0000,0.0707,0.0000,-0.0437,0.9465,-43.4699,599.8477,-43.4305,599.6403
3.3156,-0.0632,0.0225,-0.0632,0.0000,0.0632,0.0000,-0.0407,0.7866,-43.3137,600.8342,-43.2829,600.6275
3.4156,-0.0565,0.0186,-0.0565,0.0000,0.0565,0.0000,-0.0379,0.6510,-43.1524,601.8200,-43.1292,601.6141
3.5156,-0.0504,0.0153,-0.0504,0.0000,0.0504,0.0000,-0.0351,0.5368,-42.9864,602.8053,-42.9702,602.6002
3.6156,-0.0451,0.0153,-0.0451,0.0000,0.0451,0.0000,-0.0298,0.5353,-42.8164,603.7901,-42.8062,603.5856
3.7156,-0.0402,0.0147,-0.0402,0.0000,0.0402,0.0000,-0.0255,0.5144,-42.6428,604.7744,-42.6382,604.5706
3.8156,-0.0358,0.0140,-0.0358,0.0000,0.0358,0.0000,-0.0218,0.4906,-42.4663,605.7582,-42.4666,605.5552
3.9156,-0.0317,0.0128,-0.0317,0.0000,0.0317,0.0000,-0.0189,0.4479,-42.2872,606.7416,-42.2920,606.5394
4.0156,-0.0279,0.0103,-0.0279,0.0000,0.0279,0.0000,-0.0176,0.3607,-42.1060,607.7248,-42.1149,607.5232
4.1156,-0.0243,0.0078,-0.0243,0.0000,0.0243,0.0000,-0.0165,0.2739,-41.9231,608.7077,-41.9359,608.5068
4.2356,-0.0203,0.0045,-0.0203,0.0000,0.0203,0.0000,-0.0158,0.1565,-41.7022,609.8869,-41.7191,609.6867
4.3556,-0.0166,0.0012,-0.0166,0.0000,0.0166,0.0000,-0.0154,0.0424,-41.4802,611.0661,-41.5009,610.8666
4.4756,-0.0131,-0.0012,-0.0131,0.0000,0.0131,0.0000,-0.0143,-0.0410,-41.2579,612.2453,-41.2820,612.0464
4.5956,-0.0099,-0.0039,-0.0099,0.0000,0.0099,0.0000,-0.0138,-0.1381,-41.0360,613.4245,-41.0632,613.2262
4.7156,-0.0068,-0.0058,-0.0068,0.0000,0.0068,0.0000,-0.0126,-0.2027,-40.8151,614.6039,-40.8452,614.4061
4.8156,-0.0043,-0.0074,-0.0043,0.0000,0.0043,0.0000,-0.0118,-0.2597,-40.6324,615.5870,-40.6646,615.3895
4.9356,-0.0016,-0.0080,-0.0016,0.0000,0.0016,0.0000,-0.0097,-0.2809,-40.4152,616.7671,-40.4496,616.5701
5.0556,0.0013,-0.0144,0.0013,0.0000,-0.0013,0.0000,-0.0131,-0.5056,-40.2010,617.9478,-40.2378,617.7512
5.1756,0.0041,-0.0166,0.0041,0.0000,-0.0041,0.0000,-0.0125,-0.5816,-39.9904,619.1291,-40.0293,618.9329
5.2956,0.0067,-0.0067,0.0067,0.0000,-0.0067,0.0000,0.0000,-0.2335,-39.7839,620.3111,-39.8247,620.1152
5.4156,0.0114,-0.0114,0.0114,0.0000,-0.0114,0.0000,0.0000,-0.3977,-39.5800,621.4937,-39.6250,621.2983
5.5356,0.0188,-0.0188,0.0188,0.0000,-0.0188,0.0000,0.0000,-0.6587,-39.3797,622.6768,-39.4313,622.4825
5.6356,0.0258,-0.0258,0.0258,0.0000,-0.0258,0.0000,0.0000,-0.9017,-39.2169,623.6635,-39.2745,623.4701
5.7556,0.0338,-0.0338,0.0338,0.0000,-0.0338,0.0000,0.0000,-1.1831,-39.0285,624.8486,-39.0927,624.6561
5.8756,0.0399,-0.0399,0.0399,0.0000,-0.0399,0.0000,0.0000,-1.3948,-38.8498,626.0352,-38.9183,625.8431
5.9956,0.0442,-0.0442,0.0442,0.0000,-0.0442,0.0000,0.0000,-1.5461,-38.6825,627.2235,-38.7533,627.0312
6.1156,0.0455,-0.0455,0.0455,0.0000,-0.0455,0.0000,0.0000,-1.5941,-38.5275,628.4134,-38.5977,628.2207
6.2356,0.0442,-0.0442,0.0442,0.0000,-0.0442,0.0000,0.0000,-1.5466,-38.3852,629.6049,-38.4519,629.4115
6.3356,0.0423,-0.0423,0.0423,0.0000,-0.0423,0.0000,0.0000,-1.4803,-38.2759,630.5989,-38.3391,630.4048
6.4556,0.0403,-0.0403,0.0403,0.0000,-0.0403,0.0000,0.0000,-1.4119,-38.1555,631.7929,-38.2150,631.5977
6.5756,0.0410,-0.0410,0.0410,0.0000,-0.0410,0.0000,0.0000,-1.4364,-38.0466,632.9879,-38.1049,632.7922
